latitude,longitude,cas_pozorovani_utc,misto_pozorovani,kdo_pocitil,popis_intenzity_kategorie,strach_panika,pohyb_predmetu,poskozeni_budov,zvuk_reportovan,ems98_odhad
49.3787984,13.8269523,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.4867165,14.6105396,2025-04-24 17:40:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.72655,14.2932992,2025-04-24 17:30:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.3824399,14.1278257,2025-04-24 17:40:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.5176051,14.2780991,2025-04-24 17:00:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.685432,13.9989449,2025-04-24 17:32:00+00:00,Doma,Většina,silné otřsx,Ano,Ne,Ne,Ano,Neklasifikováno
49.4527389,14.3567963,2025-04-24 17:47:00+00:00,Doma,Většina,silné otřsx,Ano,Ano,Ne,Ano,V - Silné
49.3772698,13.8261142,2025-04-24 17:33:00+00:00,Doma,Většina,silné otřsx,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.2552122,13.9113773,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.5245027,13.7038635,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.2952502,14.0484307,2025-04-24 17:35:00+00:00,Doma,Jen respondent,žádný,Ne/Nezadáno,Ne,Ne,Ano,II - Zřídka pocítěno
49.5456143,14.2359099,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.3032371,14.1515503,2025-04-24 17:30:00+00:00,Doma,Jen respondent,silné otřsx,Ne/Nezadáno,Ano,Ne,Ano,Neklasifikováno
49.277178,13.9743423,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.554266,14.3373718,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.2639863,14.1151981,2025-04-24 17:32:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.303454,14.158029,2025-04-24 17:33:00+00:00,Doma,Jen respondent,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.5346729,13.518742,2025-04-24 17:30:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
